"run_id","sst","chl","elapsed_sec","biomass_Flagellates","biomass_Ciliates","biomass_Larvaceans","biomass_OmniCopepods","biomass_CarnCopepods","biomass_Euphausiids","biomass_Chaetognaths","biomass_Salps","biomass_Jellyfish","biomass_Fish_Small","biomass_Fish_Med","biomass_Fish_Large"
"sst5_chl0.05",5,0.05,108.6,0.040513080485098,0.00563089106817703,0.0246480639541962,0.0302108897276117,0.00759151123250711,0.0393095407060616,0.00493426782046789,0.0328383244873218,0.00123328378378521,0.0213754268912307,0.0407347691990043,0.0719564004457517
"sst5_chl0.15",5,0.15,109.6,0.130459061817544,0.0078992094006456,0.052117822815437,0.165742037120749,0.0153417944942309,0.133643913697034,0.00627539308495844,0.0186201292431285,0.00108954580119636,0.165527757181516,0.238115168327648,0.456437620501515
"sst5_chl0.5",5,0.5,110.7,0.270180722001966,0.00500563843042313,0.0425141622356994,1.57295802792099,0.0295456073190059,0.364180542779026,0.0157576243067612,0.0133773738959867,0.000238791427319978,0.45398298471137,1.1120308006307,2.94495884174492
"sst5_chl1.5",5,1.5,118.4,0.396880868531616,0.00404430047454363,0.0130457942574013,1.84360423107655,0.0636080917867116,1.1532364309808,0.0219614578207705,0.00670072391989024,0.0034098149513372,2.39880172658538,3.26314504095525,8.61419078852763
"sst5_chl5",5,5,126.8,0.400511058583672,0.0038526641529801,0.00954266637812885,1.9066179630807,0.0781059214738125,1.80731842770365,0.0389349633425446,0.00829703011427626,0.00126081896987393,1.58864812798858,2.91950593855936,9.22425926886637
"sst10_chl0.05",10,0.05,125.5,0.0450091492835356,0.00539273834028563,0.0197249663432269,0.022396803715649,0.0119516266837806,0.0183393858195487,0.00600922465103065,0.0304783375260613,0.00102384371427385,0.0185518443286922,0.034836546891909,0.0748863722541803
"sst10_chl0.15",10,0.15,109.5,0.150602352386915,0.00708306779578268,0.0342018528365483,0.158072749566771,0.057189103987424,0.0409616610191867,0.0164346750414464,0.0497793128024533,0.00858161844962604,0.146294264547984,0.174583183746349,0.537044216007318
"sst10_chl0.5",10,0.5,107.6,0.315284791447866,0.00491780073849147,0.0189328011149503,0.914916549156978,0.0378546750086211,0.54657881905325,0.0109342846773456,0.0122752078841769,0.00254067389619033,1.04207295747438,1.47942635643072,2.85785514968358
"sst10_chl1.5",10,1.5,113.1,0.3993561212418,0.00392943397043579,0.0104164717990205,1.95846966331561,0.0543987639171522,1.07349096318991,0.0227124469285713,0.015336807467359,0.00294675486656875,1.5594557721367,2.02355871203167,7.24568198811727
"sst10_chl5",10,5,126.9,0.407371593625212,0.00386832328146311,0.00750967671504463,1.92758795178179,0.0830807595339793,1.80479534018591,0.0408136812914224,0.00889973091632161,0.000917707185496985,1.32135536311747,4.21389765553029,8.24286609000899
